datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23
23.02.2025;Bundestagswahl;03159016;422;422 Plesseweg;1;1;391;264;0;655;345;1;2;343;0;345;71;48;53;48;120;120;8;10;19;16;66;91;;1;;0;;0;1;0;;0;4;1;;0;1;0;;0;;10;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;423;423 Stumpfe Eiche;1;1;375;207;0;582;337;0;1;336;1;336;88;81;83;71;96;87;11;13;25;26;21;42;;1;;2;;2;2;1;;0;10;2;;2;0;0;;1;;5;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;424;424 Alt-Weende (3);1;1;690;230;0;920;537;4;1;536;2;535;103;88;97;78;162;154;25;22;67;70;71;89;;3;;1;;2;1;1;;1;8;10;;1;2;0;;0;;15;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;425;425 Ernst-Fahlbusch-Straße (3);1;1;425;155;0;580;337;1;1;336;0;337;85;57;55;50;101;109;14;15;36;32;41;46;;4;;1;;2;1;0;;0;3;2;;0;0;0;;1;;18;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;501;501 Neues Rathaus (1);1;1;681;323;0;1004;550;9;0;550;2;548;136;95;67;60;187;187;9;12;23;23;118;147;;1;;1;;3;1;0;;1;8;2;;1;1;0;;0;;15;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;502;502 Neues Rathaus (2);1;1;670;328;0;998;602;1;1;601;0;602;169;127;70;63;209;200;17;13;15;16;105;158;;2;;0;;1;2;2;;4;13;5;;0;1;0;;0;;11;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;503;503 Bunsenstraße;1;1;421;180;0;601;370;2;3;367;0;370;90;70;57;47;128;116;13;15;13;13;57;90;;3;;0;;1;2;2;;2;6;1;;0;1;0;;0;;10;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;504;504 Jahnstadion;1;1;729;462;0;1191;587;6;2;585;0;587;123;97;104;93;184;172;12;11;48;50;106;138;;2;;0;;6;3;2;;0;5;5;;0;0;0;;1;;10;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;505;505 Gartetalbahnhof;1;1;533;236;0;769;452;0;3;449;3;449;118;70;45;37;136;123;19;16;24;23;104;160;;3;;0;;1;0;0;;1;2;1;;2;1;0;;0;;12;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;506;506 Landeskrankenhaus;1;1;475;129;0;604;335;1;5;330;0;335;103;84;76;64;38;41;7;8;56;56;36;36;;9;;1;;0;3;2;;0;9;6;;1;2;0;;4;;23;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;507;507 Leineberg (1);1;1;607;103;0;710;447;1;6;441;4;443;111;91;104;96;42;36;10;13;106;100;55;57;;9;;0;;0;6;1;;0;5;0;;1;2;0;;0;;39;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;508;508 Leineberg (2);1;1;608;116;0;724;484;0;5;479;6;478;154;120;103;102;69;74;9;7;83;82;52;63;;3;;1;;0;4;2;;0;4;1;;0;1;1;;0;;22;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;509;509 Bahnhof-West;1;1;549;182;0;731;325;2;2;323;1;324;76;57;54;43;70;70;9;12;37;39;64;79;;4;;1;;2;4;2;;0;9;2;;0;0;0;;0;;13;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;510;510 Bahnhof-Ost;1;1;512;232;0;744;399;2;1;398;1;398;102;73;52;37;79;85;14;12;36;34;107;130;;4;;2;;1;1;0;;0;4;1;;1;3;2;;1;;15;;;;;;;;;;;;;;
